"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_0201_0603Metric";1;"4.7uH";;;
2;"Q3,Q1,Q2,Q4";"SOT-23";4;"BC817";;;
3;"K4,K2,K1,K3";"Relay_SPDT_SANYOU_SRD_Series_Form_C";4;"SANYOU_SRD_Form_C";;;
4;"R3,R4,R2,R1";"R_0201_0603Metric";4;"2.2k";;;
5;"D9,D10,D12,D11,D14,D15,D16,D13";"D_SOD-123";8;"1N4148W";;;
6;"J4,J2,J1,J3,J5";"BarrelJack_Wuerth_694108106102_2.5x5.5mm";5;"Barrel_Jack_MountingPin";;;
7;"C3";"C_0201_0603Metric";1;"0.1uF";;;
8;"A1";"MODULE_SC0918";1;"SC0918";;;
9;"U1";"TSOT-23-6";1;"AP63205WU";;;
10;"C1,C2";"C_0201_0603Metric";2;"22uF";;;
